iter	MultiClass
0	0.9824039163
1	0.893811373
2	0.8213502937
3	0.7606898625
4	0.7090421345
5	0.6701034346
6	0.6254389965
7	0.5952239777
8	0.5738093373
9	0.5493632534
10	0.5277308592
11	0.5076950664
12	0.4882808989
13	0.4719960302
14	0.4561530009
15	0.441918337
16	0.4365231519
17	0.4249132049
18	0.4120253655
19	0.4026993031
20	0.3979306477
21	0.3862109588
22	0.3758171824
23	0.3682118603
24	0.3616822613
25	0.3564522021
26	0.350414017
27	0.345874919
28	0.3399424754
29	0.3351193781
30	0.3318733785
31	0.3282210601
32	0.323514191
33	0.32008691
34	0.3153407353
35	0.31094731
36	0.3067192498
37	0.3033179626
38	0.3002929794
39	0.2984544488
40	0.296210537
41	0.2940774453
42	0.2898284029
43	0.2883475719
44	0.2874559931
45	0.2859259345
46	0.2843054355
47	0.2832273232
48	0.2821689797
49	0.2805649249
50	0.279377379
51	0.2778726646
52	0.2771177853
53	0.2744300739
54	0.271791764
55	0.270870601
56	0.2702194613
57	0.2695375224
58	0.2691278603
59	0.2675848582
60	0.2661852242
61	0.2654053945
62	0.2645776886
63	0.2639488212
64	0.2635770215
65	0.2630368278
66	0.2613396255
67	0.2601345541
68	0.2593936727
69	0.2578743311
70	0.257633012
71	0.2565902973
72	0.2557364805
73	0.2548246858
74	0.2543142629
75	0.2538314534
76	0.2534999429
77	0.2528481978
78	0.2523861152
79	0.2521149745
80	0.2517599334
81	0.2511023827
82	0.2497499203
83	0.2491526327
84	0.2483878094
85	0.2477593316
86	0.2472648972
87	0.2468676216
88	0.245947621
89	0.2446972012
90	0.2439267067
91	0.2426081243
92	0.2416150177
93	0.2409843746
94	0.2403349379
95	0.2393413152
96	0.2388084835
97	0.2382801364
98	0.237650693
99	0.2365793854
100	0.2362711975
101	0.2353815308
102	0.2348893568
103	0.2344975683
104	0.2341654261
105	0.2337944592
106	0.2333467678
107	0.2326889873
108	0.2321998144
109	0.2313357757
110	0.2304018426
111	0.2301491746
112	0.2294484468
113	0.2290569443
114	0.2288819765
115	0.2282842817
116	0.2274830176
117	0.227106036
118	0.2266701064
119	0.2262865171
120	0.2260388782
121	0.2256204936
122	0.2253985503
123	0.22470373
124	0.2243959037
125	0.2239947729
126	0.2232495377
127	0.2226308653
128	0.2222475483
129	0.2216768228
130	0.2213499133
131	0.2204947764
132	0.2199495787
133	0.2194388818
134	0.219012047
135	0.218676049
136	0.2181561607
137	0.2175279915
138	0.2173334603
139	0.2170903097
140	0.2168308706
141	0.2166419833
142	0.2164411348
143	0.2158305594
144	0.2153868904
145	0.2150306244
146	0.2146874449
147	0.2144740975
148	0.2140247136
149	0.2136154541
150	0.2133576379
151	0.2130610864
152	0.2128133971
153	0.2126393348
154	0.2121526551
155	0.2117776008
156	0.2115590616
157	0.2108387075
158	0.2106234311
159	0.2103056031
160	0.2096883263
161	0.2091370047
162	0.2086926447
163	0.2084762544
164	0.2081271093
165	0.207868421
166	0.2076132398
167	0.2071024633
168	0.2069116714
169	0.2065393741
170	0.2062230384
171	0.2060461538
172	0.2057936338
173	0.2054936196
174	0.2051833952
175	0.20491714
176	0.2046173648
177	0.2041498188
178	0.2038813213
179	0.2033339306
180	0.2030785474
181	0.2026688207
182	0.2024647185
183	0.2022686834
184	0.2019297817
185	0.2017062023
186	0.2012925186
187	0.2011066803
188	0.2009228591
189	0.2002209835
190	0.2001379103
191	0.1999794847
192	0.1997332326
193	0.1994612545
194	0.1990440679
195	0.1987965401
196	0.1985398295
197	0.1982243218
198	0.1979905353
199	0.1977584637
